platform,type,timestamp,ticker,isin,total_amount,quantity,price_per_share,currency,instrument_currency,fx_rate
Trading 212_ISA,BUY,25/06/2025,ISF.L,IE0005042456,5.2,0.60733473,856.2,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,PSN.L,GB0006825383,1.08,0.08027006,1333,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,LLOY.L,GB0008706128,2.08,2.72871078,75.86,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,LSEG.L,GB00B0SWJX34,1.05,0.00969696,10725,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,NG.L,GB00BDR05C01,4.11,0.38313817,1067.5,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,RIO.L,GB0007188757,1.05,0.0248774,4180.5,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,RR.L,GB00B63H8491,10.63,1.14576564,923.4,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,SGE.L,GB00B8C3BL03,1.03,0.08034659,1269.5,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,SHEL.L,GB00BP6MXD84,5.35,0.2051282,2593.5,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,SSE.L,GB0007908733,2.01,0.10718113,1866,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,TATE.L,GB00BP92CJ43,1.06,0.2,525,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,TSCO.L,GB00BLGZ9862,1.99,0.48937221,404.6,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,ULVR.L,GB00B10RZP78,7.39,0.16062062,4576,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,UU.L,GB00B39J2M42,2.12,0.18395815,1147,GBP,GBX,100
Trading 212_ISA,BUY,25/06/2025,IUSA.L,IE0031442068,11.13,0.24985969,4454.5,GBP,GBX,100
HL_LISA,BUY,19/06/2025,0P0001FE43.L,GB00BH0P2M97,124.95,55.78,224,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,EQQQ.L,IE0032077012,6.31,0.01619317,38967,GBP,GBX,100
